NWS ID,River,Location,Forecast Condition,Point Type,Observed Date (Day,Latest Flow,Latest Stage,Flood Stage,Bankfull Stage,HUC,State,HSA,Elevation,Forecast Group,Segment
slrw4,Ef Smiths Fork , Stateline Reservoir  Robertson nr,1,1,,e10,,,,14040107,WY,SLC,7200,GREEN,18
enmc2,Elk , Milner  Nr,1,1,20.15,e87,e1.58,7.5,6.5,14050001,CO,GJT,6590,WHYAM,6
elcc2,Elkhead Ck , Craig  Nr,1,1,20.15,e5,e1.72,,,14050001,CO,GJT,6240,WHYAM,9
elhc2,Elkhead Ck , Long Gulch  Abv  Hayden  Nr,1,1,20.15,2,2.48,,7,14050001,CO,GJT,6405,WHYAM,7
zcha3,Emf , Arizona Ave,1,1,20.01,218,0.72,,6,15050100,AZ,PSR,1215,LOGILA,6
emiu1,Emigration Ck , Salt Lake City  Nr,1,1,20.15,1,,2,1.9,16020204,UT,SLC,4874,SIXCKS,15
escu1,Escalante , Escalante  Nr,1,1,20.15,6,1.37,,8.3,14070005,UT,SLC,5670,SANRAFDD,23
frru1,Ferron Ck , Ferron  Nr,1,1,20.15,e14,e5.68,,12,14060009,UT,SLC,6210,SANRAFDD,15
fcnu1,Fish Ck , Scofield  Nr  Reservoir  Abv,1,1,20.15,e11,e0.98,,5.3,14060007,UT,SLC,7670,DUCHPR,27
fisc2,Fish Ck , Upper Stn  Steamboat Spgs  Nr,1,1,20.14,e9,e0.44,,2.5,14050001,CO,GJT,7150,WHYAM,1
fwdn2,Flamingo Wash , Decatur Blvd,1,1,,,,,19.8,15010015,NV,VEF,2233,MUDLV,14
bdac2,Florida , Bondad  Nr,1,1,20.15,31,3.34,,5.6,14080104,CO,GJT,6000,SANJUAN,16
frvc2,Florida , Durango  Nr  Lemon Res  Blo,1,1,20.15,60,2.39,,5,14080104,CO,GJT,7960,SANJUAN,15
fchw4,Fontenelle Ck , Herschler  Nr,1,1,20.14,e25,e5.21,11.5,9.5,14040101,WY,RIW,6950,GREEN,5
fpwu1,Fort Pearce Wash , St. George  Nr,1,1,20.15,0,3.29,,15.3,15010009,UT,SLC,2800,VIRGIN,11
fcsa3,Fossil Ck Nr Strawberry,,1,1,20.15,52,4.05,,,15060203,AZ,FGZ,3600,VERDE,17
frgc2,Fraser , Granby,1,1,20.12,52,1.07,,4,14010001,CO,BOU,7900,COLKREM,6
frwc2,Fraser , Winter Park,1,1,20.15,e14,e0.87,3,3,14010001,CO,BOU,8906,COLKREM,5
canu1,Fremont , Caineville  Nr,1,1,20.12,220,7.74,,11.8,14070003,UT,SLC,4760,SANRAFDD,21
freu1,Fremont , Bicknell  Nr,1,1,20.14,e83,e4.29,,15.6,14070003,UT,SLC,6920,SANRAFDD,20
fptc2,Frying Pan , Thomasville  Nr,1,1,20.15,e33,e1.83,,4.2,14010004,CO,GJT,8210,COLPAL,14
rudc2,Frying Pan , Ruedi  Nr,1,1,20.15,83,1.33,,3.2,14010004,CO,GJT,7473,COLPAL,16
duua3,Gila , Duncan,1,1,20.15,,,20,18,15040002,AZ,TWC,3663,UPGILA,6
gata3,Gila , Attaway Rd,1,1,,,,12,12,15050100,AZ,PSR,1418,LOGILA,2
gcda3,Gila , Coolidge Dam  Blo,1,1,20.15,4,0.18,,9,15050100,AZ,PSR,2309,UPGILA,19
gcfa3,Gila , Clifton  Nr,1,1,20.15,66,2.93,,14,15040002,AZ,TWC,3336,UPGILA,7
gdcn5,Gila , Diamond Ck  Blo,1,1,,,,,,15040001,NM,ABQ,0,UPGILA,1
gdta3,Gila , Dateland,1,1,20.15,0,2.93,9,9,15070201,AZ,PSR,363,LOGILA,16
ggda3,Gila , Gillespie Dam  Blo,1,1,20.15,,,,17,15070104,AZ,PSR,753,LOGILA,11
gida3,Gila , Dome  Nr,1,1,20.15,4,14.52,24,20,15070201,AZ,PSR,139,LOGILA,17
giln5,Gila , Gila  Nr,1,1,20.15,57,1.44,11,9,15040001,NM,EPZ,4655,UPGILA,2
glca3,Gila , Calva,1,1,20.15,32,1.16,20,15,15040005,AZ,TWC,2517,UPGILA,16
glha3,Gila , Solomon  Nr  Head Of Safford Vly,1,1,20.15,93,6.7,21,19,15040005,AZ,TWC,3060,UPGILA,14
glka3,Gila , Kelvin,1,1,20.15,10,6.9,25.6,23.8,15050100,AZ,PSR,1745,LOGILA,1
gpra3,Gila , Painted Rock Dam  Blo,1,1,20.15,0,0.82,,7,15070201,AZ,PSR,519,LOGILA,15
grga3,Gila , Estrella Parkway  Goodyear Nr,1,1,20.15,91,4.72,,16.1,15070101,AZ,PSR,883,LOGILA,9
grma3,Gila , Maricopa  Nr,1,1,20.15,0,1.95,6,5,15050100,AZ,PSR,1114,LOGILA,7
gvrn5,Gila , Virden  Nr  Blue Ck  Blo,1,1,20.15,56,3.8,15,12,15040002,NM,EPZ,3875,UPGILA,5
rgrn5,Gila , Redrock  Nr,1,1,20.15,58,3.33,20,15,15040002,NM,EPZ,4090,UPGILA,4
grvc2,Gore Ck , Vail  Red Sandstone Ck  Abv,1,1,20.15,e18,e4.53,,9.4,14010003,CO,GJT,8055,COLPAL,7
